task,num_simulations,num_observation,algorithm,C2ST,C2ST_Z,MMD,LC2ST-accuracy-z,LC2ST-probasMean-z,exp-LC2ST-accuracy-z,exp-LC2ST-probasMean-z,LC2ST-accuracy-theta,LC2ST-probasMean-theta,exp-LC2ST-accuracy-theta,exp-LC2ST-probasMean-theta,RT,NLTP,folder
gaussian_linear,10⁴,10,NPE,0.58225,0.57565,0.005076647,0.5927,0.5440402,0.5239,0.52285,0.3406,0.4893219,0.5415,0.5356,1.8625587463378903,-0.0007781982421875,9
gaussian_linear,10⁴,1,NPE,0.566,0.55815,0.0020623207,0.5719,0.53265595,0.5129,0.52205,0.516,0.5862946,0.53195,0.5357,3.2231432596842446,1.6838912963867188,0
gaussian_linear,10⁴,8,NPE,0.6091,0.58615,0.0013951063,0.543,0.51867974,0.51595,0.51435,0.4879,0.44572687,0.53355,0.5337,2.434306335449219,-1.761387825012207,7
gaussian_linear,10⁴,7,NPE,0.55205,0.54375,0.0024636984,0.5264,0.5156863,0.52815,0.52545,0.5281,0.5137169,0.5254,0.53075,3.388178507486979,0.6238555908203125,6
gaussian_linear,10⁴,2,NPE,0.56,0.5493,0.003923297,0.5307,0.51674855,0.51775,0.51765,0.5922,0.502535,0.52775,0.5285,3.7455474853515622,2.15363883972168,1
gaussian_linear,10⁴,9,NPE,0.5462,0.5397,0.0014629364,0.5329,0.51148915,0.52175,0.52505,0.504,0.50257444,0.5402,0.54395,1.9136002858479817,1.675431251525879,8
gaussian_linear,10⁴,5,NPE,0.53665,0.53405,0.0017464161,0.4947,0.5049871,0.5243,0.5188,0.4662,0.5042414,0.53155,0.52405,3.257263692220052,0.4455165863037109,4
gaussian_linear,10⁴,4,NPE,0.63115,0.6121,0.0048873425,0.5732,0.52975386,0.52355,0.52015,0.464,0.5391289,0.5402,0.5413,5.114522298177083,2.224262237548828,3
gaussian_linear,10⁴,3,NPE,0.54925,0.5412,0.002592206,0.5086,0.49884385,0.51825,0.5227,0.5184,0.51951414,0.53035,0.5349,4.135667419433593,3.75152587890625,2
gaussian_linear,10⁴,6,NPE,0.53135,0.5269,0.001231432,0.4969,0.49851435,0.5159,0.5176,0.5092,0.5084261,0.52365,0.52775,2.8134063720703124,-0.5785379409790039,5
gaussian_mixture,10⁴,10,NPE,0.60265,0.68675,0.0126696825,0.7661,0.72071195,0.7746,0.77315,0.8298,0.69578207,0.76615,0.76455,4.40611317952474,4.870049953460693,9
gaussian_mixture,10⁴,1,NPE,0.6914,0.71805,0.0550735,0.6514,0.5766521,0.6374,0.63645,0.696,0.5660436,0.61615,0.6204,2.0065648396809896,0.0416789129376411,0
gaussian_mixture,10⁴,8,NPE,0.65765,0.6762,0.03862059,0.5238,0.54087436,0.59525,0.59795,0.5513,0.52478427,0.6028,0.59715,9.714173380533854,0.0709834918379783,7
gaussian_mixture,10⁴,7,NPE,0.5741,0.6,0.007287264,0.6435,0.71910435,0.7912,0.7888,0.669,0.70969915,0.78915,0.79165,9.269136555989585,2.799456119537353,6
gaussian_mixture,10⁴,2,NPE,0.57,0.6646,0.0014691353,0.7534,0.6861325,0.74585,0.7474,0.7558,0.65653586,0.7336,0.7376,2.9701639811197915,-0.9421353340148926,1
gaussian_mixture,10⁴,9,NPE,0.55575,0.6016,0.0012409687,0.6349,0.62622595,0.73165,0.7339,0.6656,0.611549,0.7313,0.7305,9.653076171875,0.1083418950438499,8
gaussian_mixture,10⁴,5,NPE,0.6596,0.6903,0.034983635,0.4833,0.5444241,0.59355,0.59305,0.6872,0.518062,0.5875,0.587,8.77507832845052,2.0224177837371826,4
gaussian_mixture,10⁴,4,NPE,0.5822,0.66075,0.0013149977,0.632,0.7070321,0.7939,0.7948,0.661,0.7086132,0.7949,0.79445,4.871075439453125,-0.2612438201904297,3
gaussian_mixture,10⁴,3,NPE,0.56805,0.5964,0.0021582842,0.5751,0.64563465,0.7468,0.74465,0.5685,0.6468544,0.7536,0.754,8.466721598307291,-0.1905055195093155,2
gaussian_mixture,10⁴,6,NPE,0.6723,0.6838,0.002148509,0.6497,0.67064667,0.73675,0.7374,0.6259,0.69162285,0.74175,0.74245,3.1572291056315103,5.347113132476807,5
